clinic_id,clinic_name,location_address,rating,phone,website,hours,error
52_1,River City Sleep Center,"7290 Northlake 505, Columbus, GA 31909",N/A,+1 706-221-4201,N/A,08-17,
56_1,WellStar West Georgia Medical Center Sleep Center,"1514 Vernon Road, LaGrange, GA 30240",5.0,+1 470-644-1755,https://www.wellstar.org/locations/medical-practice/sleep-center-1514-vernon-road,Opens at 08:30,
63_1,Neurology and Sleep Solutions,"820 Goodyear Avenue, Gadsden, AL 35903",3.4,+1 256-492-3571,https://neurologyandsleepsolutionsllc.godaddysites.com/,Opens Mon at 08,
105_1,Center for Sleep Medicine,"223 West College Street, Suite B, Griffin, GA 30224",4.0,+1 770-644-1755,https://www.wellstar.org/locations/medical-practice/sleep-center-223-west-college-street,Opens at 08,Matched to Wellstar Sleep Center in Griffin
114_1,"Janice L. Miles, DO - Pulmonary & Sleep Medicine - Sleep Lab","2705 Highway 90, Ocean Springs, MS 39564",4.7,+1 228-818-0661,N/A,N/A,Matched to Miles Janice L MD at 2705 Bienville Blvd
181_2,"Covenant Sleep Clinic of Oxford, LLC","2908 South Lamar Boulevard 200, Oxford, MS 38655",3.4,+1 662-236-7807,N/A,N/A,
278_1,Dresden Medical Clinic,"130 E Locust Street, Dresden, TN 38225",3.9,+1 731-364-3196,N/A,N/A,
323_1,"Iberia Sleep Center, LLC","715 N. Lewis Street,  Suite B, New Iberia, LA 70563-0000",5.0,+1 337-551-4471,N/A,N/A,
391_1,Florida Sleep Clinic,"1501N US Highway 441 1208, The Villages, FL 32159",N/A,N/A,N/A,N/A,No exact match found - multiple similar clinics in area
476_1,Baptist Health Floyd Sleep Center,"1919 State Street,  Suite 362, New Albany, IN 47150",5.0,+1 812-949-5550,https://www.baptisthealth.com/care-services/services/sleep-medicine,Opens at 08,Matched to Baptist Health Sleep Medicine
